timestep,reward
272190,5.853
272455,6.181
272687,5.151
272973,4.565
273247,5.617
273542,4.668
273831,4.437
274110,3.852
274402,3.665
274684,2.998
274968,3.258
275229,4.772
275544,7.404
275836,5.575
276139,5.217
276420,6.37
276726,4.036
277029,6.186
277332,5.508
277590,3.076
277862,4.393
278163,6.088
278444,3.104
278702,4.29
278980,2.346
279254,4.954
279550,5.589
279835,6.777
280120,2.135
280409,5.436
280702,5.218
281013,2.841
281278,4.779
281552,3.035
281832,5.767
282104,4.899
282377,3.702
282648,5.634
282891,5.456
283140,4.313
283440,1.204
283736,3.025
284059,3.303
284304,3.703
284593,3.533
284855,4.953
285118,3.848
285412,3.544
285669,2.353
285943,4.566
286235,7.44
286526,3.041
286809,6.043
287044,4.445
287318,5.227
287610,5.074
287885,2.058
288157,4.436
288434,5.147
288712,2.287
289003,4.073
289287,6.049
289593,5.505
289828,7.854
290084,4.84
290356,7.785
290640,5.323
290930,2.492
291225,9.647
291542,5.025
291841,3.595
292157,8.015
292444,3.674
292742,7.167
293024,8.409
293328,3.963
293622,4.169
293899,4.134
294192,6.387
294495,4.935
294753,3.72
295050,3.847
295331,3.387
295619,7.436
